usuario,data,bruto,gasolina,manutencao,liquido,km,veiculo
uber,11/03/2026,100.0,36.63,9.0,54.37,60.0,Padrão
uber,11/03/2026,110.0,24.42,6.0,79.58,40.0,Padrão
